seed,model,variant,condition,budget,k,tp,fp,fn,precision,recall,lift
17,word_balanced,raw,id,0.001,40,40,0,160,1.0,0.2,200.0
17,word_balanced,raw,id,0.005,200,200,0,0,1.0,1.0,200.0
17,word_balanced,raw,id,0.01,400,200,200,0,0.5,1.0,100.0
17,word_balanced,raw,id,0.02,800,200,600,0,0.25,1.0,50.0
17,word_balanced,raw,id,0.05,2000,200,1800,0,0.1,1.0,20.0
17,word_balanced,calibrated,id,0.001,40,40,0,160,1.0,0.2,200.0
17,word_balanced,calibrated,id,0.005,200,200,0,0,1.0,1.0,200.0
17,word_balanced,calibrated,id,0.01,400,200,200,0,0.5,1.0,100.0
17,word_balanced,calibrated,id,0.02,800,200,600,0,0.25,1.0,50.0
17,word_balanced,calibrated,id,0.05,2000,200,1800,0,0.1,1.0,20.0
17,word_balanced,raw,positive_paraphrase,0.001,40,40,0,160,1.0,0.2,200.0
17,word_balanced,raw,positive_paraphrase,0.005,200,137,63,63,0.685,0.685,137.0
17,word_balanced,raw,positive_paraphrase,0.01,400,170,230,30,0.425,0.85,85.0
17,word_balanced,raw,positive_paraphrase,0.02,800,200,600,0,0.25,1.0,50.0
17,word_balanced,raw,positive_paraphrase,0.05,2000,200,1800,0,0.1,1.0,20.0
17,word_balanced,calibrated,positive_paraphrase,0.001,40,40,0,160,1.0,0.2,200.0
17,word_balanced,calibrated,positive_paraphrase,0.005,200,137,63,63,0.685,0.685,137.0
17,word_balanced,calibrated,positive_paraphrase,0.01,400,170,230,30,0.425,0.85,85.0
17,word_balanced,calibrated,positive_paraphrase,0.02,800,200,600,0,0.25,1.0,50.0
17,word_balanced,calibrated,positive_paraphrase,0.05,2000,200,1800,0,0.1,1.0,20.0
17,word_balanced,raw,benign_context,0.001,40,0,40,200,0.0,0.0,0.0
17,word_balanced,raw,benign_context,0.005,200,0,200,200,0.0,0.0,0.0
17,word_balanced,raw,benign_context,0.01,400,0,400,200,0.0,0.0,0.0
17,word_balanced,raw,benign_context,0.02,800,5,795,195,0.00625,0.025,1.25
17,word_balanced,raw,benign_context,0.05,2000,100,1900,100,0.05,0.5,10.0
17,word_balanced,calibrated,benign_context,0.001,40,0,40,200,0.0,0.0,0.0
17,word_balanced,calibrated,benign_context,0.005,200,0,200,200,0.0,0.0,0.0
17,word_balanced,calibrated,benign_context,0.01,400,0,400,200,0.0,0.0,0.0
17,word_balanced,calibrated,benign_context,0.02,800,5,795,195,0.00625,0.025,1.25
17,word_balanced,calibrated,benign_context,0.05,2000,100,1900,100,0.05,0.5,10.0
17,word_balanced,raw,combined,0.001,40,0,40,200,0.0,0.0,0.0
17,word_balanced,raw,combined,0.005,200,0,200,200,0.0,0.0,0.0
17,word_balanced,raw,combined,0.01,400,0,400,200,0.0,0.0,0.0
17,word_balanced,raw,combined,0.02,800,0,800,200,0.0,0.0,0.0
17,word_balanced,raw,combined,0.05,2000,0,2000,200,0.0,0.0,0.0
17,word_balanced,calibrated,combined,0.001,40,0,40,200,0.0,0.0,0.0
17,word_balanced,calibrated,combined,0.005,200,0,200,200,0.0,0.0,0.0
17,word_balanced,calibrated,combined,0.01,400,0,400,200,0.0,0.0,0.0
17,word_balanced,calibrated,combined,0.02,800,0,800,200,0.0,0.0,0.0
17,word_balanced,calibrated,combined,0.05,2000,0,2000,200,0.0,0.0,0.0
17,word_balanced,raw,combined_0.25,0.001,40,0,40,200,0.0,0.0,0.0
17,word_balanced,raw,combined_0.25,0.005,200,2,198,198,0.01,0.01,2.0
17,word_balanced,raw,combined_0.25,0.01,400,53,347,147,0.1325,0.265,26.5
17,word_balanced,raw,combined_0.25,0.02,800,121,679,79,0.15125,0.605,30.25
17,word_balanced,raw,combined_0.25,0.05,2000,200,1800,0,0.1,1.0,20.0
17,word_balanced,calibrated,combined_0.25,0.001,40,0,40,200,0.0,0.0,0.0
17,word_balanced,calibrated,combined_0.25,0.005,200,2,198,198,0.01,0.01,2.0
17,word_balanced,calibrated,combined_0.25,0.01,400,53,347,147,0.1325,0.265,26.5
17,word_balanced,calibrated,combined_0.25,0.02,800,121,679,79,0.15125,0.605,30.25
17,word_balanced,calibrated,combined_0.25,0.05,2000,200,1800,0,0.1,1.0,20.0
17,word_balanced,raw,combined_0.50,0.001,40,0,40,200,0.0,0.0,0.0
17,word_balanced,raw,combined_0.50,0.005,200,0,200,200,0.0,0.0,0.0
17,word_balanced,raw,combined_0.50,0.01,400,2,398,198,0.005,0.01,1.0
17,word_balanced,raw,combined_0.50,0.02,800,45,755,155,0.05625,0.225,11.25
17,word_balanced,raw,combined_0.50,0.05,2000,183,1817,17,0.0915,0.915,18.3
17,word_balanced,calibrated,combined_0.50,0.001,40,0,40,200,0.0,0.0,0.0
17,word_balanced,calibrated,combined_0.50,0.005,200,0,200,200,0.0,0.0,0.0
17,word_balanced,calibrated,combined_0.50,0.01,400,2,398,198,0.005,0.01,1.0
17,word_balanced,calibrated,combined_0.50,0.02,800,45,755,155,0.05625,0.225,11.25
17,word_balanced,calibrated,combined_0.50,0.05,2000,183,1817,17,0.0915,0.915,18.3
17,word_balanced,raw,combined_0.75,0.001,40,0,40,200,0.0,0.0,0.0
17,word_balanced,raw,combined_0.75,0.005,200,0,200,200,0.0,0.0,0.0
17,word_balanced,raw,combined_0.75,0.01,400,0,400,200,0.0,0.0,0.0
17,word_balanced,raw,combined_0.75,0.02,800,3,797,197,0.00375,0.015,0.75
17,word_balanced,raw,combined_0.75,0.05,2000,30,1970,170,0.015,0.15,3.0
17,word_balanced,calibrated,combined_0.75,0.001,40,0,40,200,0.0,0.0,0.0
17,word_balanced,calibrated,combined_0.75,0.005,200,0,200,200,0.0,0.0,0.0
17,word_balanced,calibrated,combined_0.75,0.01,400,0,400,200,0.0,0.0,0.0
17,word_balanced,calibrated,combined_0.75,0.02,800,3,797,197,0.00375,0.015,0.75
17,word_balanced,calibrated,combined_0.75,0.05,2000,30,1970,170,0.015,0.15,3.0
17,word_unweighted,raw,id,0.001,40,40,0,160,1.0,0.2,200.0
17,word_unweighted,raw,id,0.005,200,200,0,0,1.0,1.0,200.0
17,word_unweighted,raw,id,0.01,400,200,200,0,0.5,1.0,100.0
17,word_unweighted,raw,id,0.02,800,200,600,0,0.25,1.0,50.0
17,word_unweighted,raw,id,0.05,2000,200,1800,0,0.1,1.0,20.0
17,word_unweighted,calibrated,id,0.001,40,40,0,160,1.0,0.2,200.0
